BINOMIAL,PHYLUM_NAM,CLASS_NAME,ORDER_NAME,FAMILY_NAM,GENUS_NAME,SPECIES_NA,CATEGORY
Enigmopora darveliensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Enigmopora,darveliensis,DD
Montipora palawanensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,palawanensis,NT
Acropora exquisita,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,exquisita,DD
Montipora crassituberculata,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,crassituberculata,VU
Acropora subulata,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,subulata,LC
Leptoseris hawaiiensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,hawaiiensis,LC
Acropora spicifera,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,spicifera,VU
Leptoseris papyracea,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,papyracea,LC
Madracis auretenra,CNIDARIA,ANTHOZOA,SCLERACTINIA,ASTROCOENIIDAE,Madracis,auretenra,LC
Acropora lokani,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,lokani,VU
Acropora tenella,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,tenella,VU
Montipora vietnamensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,vietnamensis,VU
Acropora rudis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,rudis,EN
Acropora inermis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,inermis,DD
Acropora divaricata,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,divaricata,NT
Montipora hirsuta,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,hirsuta,NT
Acropora nana,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,nana,NT
Madracis kirbyi,CNIDARIA,ANTHOZOA,SCLERACTINIA,ASTROCOENIIDAE,Madracis,kirbyi,LC
Acropora plantaginea,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,plantaginea,DD
Acropora lianae,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,lianae,DD
Acropora irregularis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,irregularis,DD
Acropora kimbeensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,kimbeensis,VU
Pachyseris speciosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Pachyseris,speciosa,LC
Acropora rongelapensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,rongelapensis,DD
Acropora fenneri,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,fenneri,DD
Montipora cactus,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,cactus,VU
Acropora gemmifera,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,gemmifera,LC
Acropora sarmentosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,sarmentosa,LC
Astreopora cucullata,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Astreopora,cucullata,VU
Acropora samoensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,samoensis,LC
Pachyseris involuta,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Pachyseris,involuta,VU
Agaricia humilis,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Agaricia,humilis,LC
Madracis senaria,CNIDARIA,ANTHOZOA,SCLERACTINIA,ASTROCOENIIDAE,Madracis,senaria,LC
