BINOMIAL,PHYLUM_NAM,CLASS_NAME,ORDER_NAME,FAMILY_NAM,GENUS_NAME,SPECIES_NA,CATEGORY
Psammocora haimeana,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,haimeana,LC
Pectinia lactuca,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Pectinia,lactuca,VU
Porites stephensoni,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,stephensoni,NT
Pocillopora damicornis,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,damicornis,LC
Mussismilia hispida,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Mussismilia,hispida,DD
Schizoculina africana,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Schizoculina,africana,DD
Goniopora minor,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,minor,NT
Lobophyllia robusta,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Lobophyllia,robusta,LC
Porites negrosensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,negrosensis,NT
Turbinaria frondens,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria,frondens,LC
Porites ornata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,ornata,EN
Acanthastrea maxima,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Acanthastrea,maxima,NT
Goniopora tenella,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,tenella,NT
Hydnophora bonsai,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Hydnophora,bonsai,EN
